item,itemLabel,position,positionLabel,start,end,psid
Q10272837,Eneias da Conceicao,Q111827952,Minister of Economic and Social Affairs,1994-12-16,2000-01-17,Q10272837-05A567AB-DDA8-4066-8BC3-DCB081B36EFA
Q105497841,Carlos Alberto Fortes Mesquita,Q109950952,Minister of Transport and Communications,2015-01-19,2020-01-14,Q105497841-3f118f8d-45b9-d506-9752-0823f74dfde4
Q106307313,Cidalia Chauque Oliveira,Q109949882,"Minister of Gender, Children and Social Welfare",2015-01-15,2020-01-17,Q106307313-B767BEB2-C230-4093-9019-A0C4B60581AB
Q109950516,João Osvaldo Machatine,Q111827978,"Minister of Public Works, Housing and Water Resources",2018-05-15,2020-01-17,Q109950516-D66AF33D-08BC-4107-8943-D4E0D6AFA36F
Q109950517,Ernesto Max Elias Tonela,Q109949809,Minister of Industry and Trade,2015-01-15,2017-12-12,Q109950517-6F54E028-69FC-4488-8251-36D4EE3AC0C8
Q109950517,Ernesto Max Elias Tonela,Q109950037,Minister of Mineral Resources and Energy,2017-12-12,2020-01-17,Q109950517-E8465D81-8234-4FEE-AEC2-6C4B02F52CCE
Q111828597,Abdurremane Lino de Almeida,Q109950298,Minister of Justice and Constitutional and Religious Affairs,2015-01-15,2016-03-26,Q111828597-4E7C796E-AB01-4993-854E-8934A410002C
Q111828598,Acucena Xavier Duarte,Q111827981,Minister of Social Affairs,1998-07-07,2000-01-17,Q111828598-34DA803B-0F03-4F8F-B77B-8EA6F2628179
Q111828599,Aguiar Real Mazule,Q98755271,Minister of Defence,1994-12-16,2000-01-17,Q111828599-98DEA828-1CA2-477E-AD9D-6FFA66F99E92
Q111828600,Aiuba Cuereneia,Q111827951,Minister of Development and Planning,2005-02-11,2015-01-15,Q111828600-D12CB208-58B0-4DFB-B5AA-4A5D8A1C9733
Q111828601,Alberto Hawa Januario Nkutumula,Q111827996,Minister of Youth and Sports,2015-01-15,2017-11-23,Q111828601-B959E8F9-5114-41A8-8D86-9BC57AF6F31A
Q111828602,Alcido Nguenah,Q111827956,Minister of Education,2000-01-17,2005-02-02,Q111828602-95AEFF7F-26EC-4EE9-9A9C-DB28B017ED51
Q111828603,Alexandre Manguele,Q98966133,Minister of Health,2010-10-12,2015-01-15,Q111828603-8209DAA5-9EC8-4626-968D-B2A6AAFBFB31
Q111828604,Alfredo Damito,Q111827984,Minister of State Administration,1994-12-16,2000-01-17,Q111828604-9EEF218D-8BFD-4EC8-803F-F2AA793E00C9
Q111828605,Antonio Correia Fernandes Sumbana,Q111827913,Minister of Civilian Household Affairs,2010-01-19,2015-01-15,Q111828605-6DE607E7-B9F5-4054-861D-6E76D7404643
Q111828606,Antonio Fernando,Q109949809,Minister of Industry and Trade,2005-02-11,2010-10-12,Q111828606-E588602D-8594-490F-A39C-6ABC641F9EF6
Q111828608,Antonio Francisco Munguambe,Q109950952,Minister of Transport and Communications,2005-02-11,2008-03-10,Q111828608-E981E312-8B0F-4FE0-99DE-F3E18549574C
Q111828609,Antonio Namburete,Q111827968,Minister of Justice,1998-07-07,2000-01-17,Q111828609-A0026EA8-F8E6-4927-BA06-23EBEEBD0292
Q111828610,Armando Artur Joao,Q111827915,Minister of Culture,2010-01-19,2015-01-15,Q111828610-5249BBAB-AD14-4014-A366-7F550A6325DC
