item,name,position,positionLabel,startDate,psid
Q111841504,Edson da Graça Francisco Macuacua,Q111904033,Manica Province,2020-01-22,Q111841504-C3288CEB-68A9-4EBD-A66F-FD06819E2D2B
Q111904046,Vicente Joaquim,Q111904035,Maputo,2021-06-02,Q111904046-CA7CED6E-62E7-4507-BF17-15C61CE4E2C4
Q111904063,António Njanje Taimo Supeia,Q111904030,Cabo Delgado Province,2020-01-22,Q111904063-0AA2DE95-7464-403C-8794-DF62ED446029
Q111904064,Dinis Vilanculos,Q111904037,Niassa Province,2020-01-22,Q111904064-A7C3B7B2-B248-4585-A285-4CF45211CE88
Q111904068,Mety Gondola,Q111904036,Nampula Province,2020-01-22,Q111904068-A5B09B38-2BFC-4CCE-9EFA-369C8A7EC594
Q111904069,Judith Mussácula,Q111904040,Zambezia Province,2020-01-22,Q111904069-F70E3180-DEDB-4803-BFBD-4F72832F5BA3
Q111904071,Elisa Zacarias,Q111904039,Tete Province,2020-01-22,Q111904071-38D1FCAD-2A5B-4A08-B846-CDA96B5E74C1
Q111904076,Ludmila Maguni,Q111904032,Inhambane Province,2020-01-22,Q111904076-00577DFE-2E5B-4401-9872-8D2B57D5FDB7
Q111904077,Amosse Macamo,Q111904031,Gaza Province,2020-01-22,Q111904077-F7F762C1-2656-46FE-A6D0-AC065B132835
Q20014463,Vitória Diogo,Q111904034,Maputo Province,2020-01-22,Q20014463-CFA09BFB-18B4-4861-AADF-B75EAAF3831A
Q97034511,Stella da Graça Pinto Novo Zeca,Q111904038,Sofala,2020-01-22,Q97034511-6DC9CCF6-D911-4492-A470-54B4D8E7F6A8
